sentiment,review_body,product_category
-1,Whatever happened to sizing! pretty print and color but has enough fabric for 2 tops. it is also unlined which is not a huge issue. i wore it with a cami. the arms weren't too gaping for me  thankfully. i tried to make it work with a wide belt but i will have to get it tucked on the sides. i am 140 lbs and got the small. should have gone 1 or even 2 sizes smaller.,Blouses
-1,I snapped this up under the 20% off top sale and free shipping because it looks so pretty. i ordered a large because i usually take a large or xl in tops. it is huge! i could have taken a medium if not for the lining -- which is tiny! the lining does not cover the chest and bra area and hits the belly button area while the orange part falls down to the hips. and it looks like a block and makes me look wide. who needs that? like i said  a medium would fit better and would not be so wide  but i fe,Blouses
-1,I ordered this shirt online and just received it in the mail. the floral design is nice  but the mesh fabric in the back is low quality and cheapens the look of the shirt (especially considering the price). most disappointingly  the neck hole is almost as small as the arm holes. with no zipper or button opening i could not fit my head through the opening and  thus  could not even put the shirt on. needless to say  i will be returning it. i ordered the xs  so it is possible that larger sizes do n,Blouses
-1,I was really looking forward to receiving this blouse in the mail. the color was beautiful in person and the photo does not show the nice beading around the neck. that being said  i was so disappointed in the fit. i ordered a size 00 and the arm length was way too long yet the body of the shirt was way too cropped. cropped enough where you could see skin on the sides. made no sense! hoping to order a few more sizes to see if i can find the right fit. order up for length  down for arm length ...,Blouses
-1,Beautiful print  however as the previous reviewer mentioned it is very sheer  much sheerer than the product shot shows. i was expecting to be able to wear a nude bra under this without a cami  however my nude bra was completely visible.  the top also ended at the middle of the zipper of my jeans  so much shorter than the tunic length shown  and the bottom half of the sleeves ballooned out much more noticeably in person (the top half of the sleeves are slim  and the bottom half are looser).  over,Blouses
-1,Why is it so difficult to find a shirt that doesn't expose half of my bra if i lift my arm?     this is cute (beyond the arm hole issue) but overpriced. going back.,Blouses
-1,I really wanted to like this top but unfortunately it was short and the sleeves were just too puffy. it did not look flattering and will be going back.,Blouses
-1,Fits like a maternity top. not for my age group or build.,Blouses
-1,This top is tight across the bust (i am a 32dd cup) and more trapeze-shaped than the picture shows. if you are smaller busted  it may not flare out as much. also- the sz 10 is what was tight - and i usually wear a sz. 4 or 6  or small-size top/blouse. in the end  this wasn't very flattering as it looked more like a maternity top.,Blouses
0,I adore this blouse  but the cut is a bit weird. the shoulders fit snugly and the body is blousy/boxy. the colors are super cute and the cutouts are unique but i don't think this top is for everyone.,Blouses
0,This is a well made blouse with a pretty neckline. the print with the sleeves makes me look really wide. it's an odd look.,Blouses
0,This top is so cute but after i added my tank top under neath it made me look frumpy. however  if you pair it with the right tank and bottoms it could be very cute. i think my problem is that i am not long wasted enough. i wish that it had worked because it is so unique.,Blouses
0,I bought this tank for work  but the color of the print is slightly muted compared to the photo. i usually wear a xxs or xs (i am 100 lbs  5'1) and i got the xs thinking it will be loose  which i wanted. the arm holes were down to my waist  and it was also unusually wide. the quality of the fabric is nice though  not to heavy and not too thin.,Blouses
0,I ordered my usual size and i think the length and the top (chest/arms) for great. however the bottom is more of a swing style than a straight or slight a-line as depicted in the stock photo. there is too much fabric in the stomach area and just not flattering.,Blouses
0,I have mixed feelings about htis top  it is a nice shape and comfortable  fits triue t o size  but hte fabric is thin adn sheer. i decided to keep in mind if it goes on sale. the 0 fit me perfectly. (115 lbs  3-dd chest).,Blouses
0,"This shirt is enormous and  as the title of my review suggests  it looks like a men's button down. the fabric is quite sheer  but that's actually what i liked best about it. i just looked completely shapeless in this top & wish i had realized it before i wore it out because i would definitely have returned it. perhaps if i had bought it 2 sizes smaller i might have liked it better - it didn't fit anything like the model photos suggest - it's huge. not ""easy/slouchy"".",Blouses
0,It's really cute but seems expensive for the type of fabric. i thought it would be more substantial. got lots of compliments .,Blouses
0,I suppose i would have kept this top i hadn't been misled about the color. i don't like ecru or eggshell--  the description said it was black and white.,Blouses
1,"I own quite a few pieces from retailerplogie but this one is my favorite by far! the color is a crispy white. the length is just right and has a beautiful flow to it. it is more fitted on top but flares out for a feminine appeal. i am 5' 1""  115 lbs. i bought the regular xs and it fit like a nice tunic top. perfect for a curvy figure- i wore it with my tight jeans and boots. got compliments from everyone!",Blouses
1,This is a heavier weight shirt. it is fitted through the bust and shoulders and very loose below so  if you don't like loose fitting clothes  this is not for you. it is well made and looks cute with jeans.,Blouses
1,Sheer top  runs big  usually i'm a size medium  but got small in these.   very pretty! great summer top.,Blouses
1,Beautiful blend of colors and the texture of the shirt is so soft...perfect fall weather garment!,Blouses
1,"Great fit! for reference  i am 5'7""  160 lbs and bought a size medium. there is a piece of fabric that acts as a cami underneath to prevent any unwanted reveal with the lace up. soft fabric and falls beautifully!",Blouses
